newage,age_loc,total_w,mat,scale
1,0.9,398.8799627627996,1,0.8
1,0.9,217.91410180703076,0,0.8
1,0.9,496.1648384608001,1,0.8
1,0.9,406.0438367229529,1,0.8
1,0.9,321.6562298310643,0,0.8
1,0.9,403.51044055864463,0,0.8
1,0.9,465.3542003608618,0,0.8
1,0.9,398.9949195007729,1,0.8
1,0.9,332.3107879236195,0,0.8
1,0.9,461.75713190528205,0,0.8
1,0.9,548.4608568290267,1,0.8
1,0.9,543.6791037983888,0,0.8
1,0.9,477.34068426245415,1,0.8
1,0.9,217.12982665593597,0,0.8
1,0.9,485.04230846849777,0,0.8
1,0.9,485.70043010834354,1,0.8
1,0.9,356.20476894285036,0,0.8
1,0.9,428.45951526151896,0,0.8
1,0.9,443.3356455223071,0,0.8
1,0.9,514.1711077835116,0,0.8
1,0.9,290.08237296134826,0,0.8
1,0.9,462.661383848483,0,0.8
1,0.9,581.4332689481721,1,0.8
1,0.9,482.2730517844787,1,0.8
1,0.9,553.2908388461395,1,0.8
1,0.9,582.1887387425828,1,0.8
1,0.9,334.01553608041286,0,0.8
1,0.9,363.92242046256825,0,0.8
1,0.9,454.7847102514194,0,0.8
1,0.9,504.10930986932345,0,0.8
1,0.9,269.5311863397154,0,0.8
1,0.9,652.3574276921998,1,0.8
1,0.9,501.3926928020306,0,0.8
1,0.9,590.4640258991503,1,0.8
1,0.9,319.9949408652477,0,0.8
1,0.9,417.20250975247285,1,0.8
1,0.9,543.3774774091954,1,0.8
1,0.9,249.87141390760536,0,0.8
1,0.9,553.0536139288911,1,0.8
1,0.9,317.05561295946717,0,0.8
1,0.9,441.02282740843987,0,0.8
1,0.9,345.188442954563,0,0.8
1,0.9,448.57519772182434,0,0.8
1,0.9,388.3818525079232,0,0.8
1,0.9,376.7702471360838,0,0.8
1,0.9,193.48042164124115,0,0.8
1,0.9,277.0290193585239,0,0.8
1,0.9,499.3920957036542,1,0.8
1,0.9,408.3855507747473,0,0.8
1,0.9,593.6261467017399,1,0.8
1,0.9,355.38238353045364,0,0.8
1,0.9,457.4190605923993,1,0.8
1,0.9,423.0873652030268,1,0.8
1,0.9,173.45475349364915,0,0.8
1,0.9,502.98473554585667,1,0.8
1,0.9,588.4197908583747,1,0.8
1,0.9,511.87025057169944,1,0.8
1,0.9,294.92796372277536,0,0.8
1,0.9,444.72749039024654,1,0.8
1,0.9,540.183517317925,1,0.8
1,0.9,409.57829428950726,0,0.8
1,0.9,241.3954445013548,0,0.8
1,0.9,307.7399271422787,0,0.8
1,0.9,409.25596083888496,1,0.8
1,0.9,492.5555756245339,0,0.8
1,0.9,485.1552649941217,0,0.8
1,0.9,156.44678433483546,0,0.8
1,0.9,333.96483807172143,0,0.8
1,0.9,470.99808861176564,0,0.8
1,0.9,552.6719337304756,1,0.8
1,0.9,531.896854242237,1,0.8
1,0.9,428.1106746070358,0,0.8
1,0.9,312.98092055979055,0,0.8
1,0.9,518.3161125192204,1,0.8
1,0.9,613.5560629630697,1,0.8
1,0.9,322.40466977626085,0,0.8
1,0.9,456.01220271259285,0,0.8
1,0.9,359.56103476851376,0,0.8
1,0.9,242.32606988684776,0,0.8
1,0.9,278.32531420018165,0,0.8
1,0.9,288.6281143288153,0,0.8
1,0.9,365.98147224804643,0,0.8
1,0.9,463.56633057365303,0,0.8
1,0.9,331.2842247512189,0,0.8
1,0.9,418.01788937543586,1,0.8
1,0.9,375.9812918205534,0,0.8
1,0.9,269.8821627505159,0,0.8
1,0.9,527.2788262546794,1,0.8
1,0.9,384.7934239586478,0,0.8
1,0.9,345.3076829763451,1,0.8
1,0.9,583.0458423413464,1,0.8
1,0.9,516.3258484769234,1,0.8
1,0.9,530.6975050163312,1,0.8
1,0.9,449.0511801286803,0,0.8
1,0.9,263.1995235835399,0,0.8
1,0.9,463.118645041479,1,0.8
1,0.9,295.7261218897307,0,0.8
1,0.9,472.08384219042125,1,0.8
1,0.9,111.69945833282529,0,0.8
1,0.9,558.637882586191,1,0.8
1,0.9,295.7928150766363,0,0.8
1,0.9,482.0406045053524,1,0.8
1,0.9,567.9670497483451,1,0.8
1,0.9,436.3915671453127,1,0.8
1,0.9,540.0108330742668,1,0.8
1,0.9,334.2143726841062,1,0.8
1,0.9,599.3959454109327,1,0.8
1,0.9,364.2449500408272,1,0.8
1,0.9,559.3613568231813,1,0.8
1,0.9,448.91357500691606,1,0.8
1,0.9,535.5031714640131,1,0.8
1,0.9,453.25323290637914,1,0.8
1,0.9,392.6420831311874,0,0.8
1,0.9,421.2062925803215,0,0.8
1,0.9,595.9392883926823,1,0.8
1,0.9,405.31894186159775,1,0.8
1,0.9,270.2045615863737,0,0.8
1,0.9,393.5620874333167,1,0.8
1,0.9,602.4372122847569,1,0.8
1,0.9,510.6816470226097,1,0.8
1,0.9,561.3102575930549,1,0.8
1,0.9,194.51445626030113,0,0.8
1,0.9,376.63149340041923,0,0.8
1,0.9,470.51754316406766,1,0.8
1,0.9,635.4058039027615,1,0.8
1,0.9,261.5551518332821,0,0.8
1,0.9,602.6147231577371,1,0.8
1,0.9,443.868086298885,1,0.8
1,0.9,294.87695782974254,0,0.8
1,0.9,348.70310455167294,0,0.8
1,0.9,340.2543575116022,0,0.8
1,0.9,465.98294894900346,1,0.8
1,0.9,336.82055134772384,0,0.8
1,0.9,323.4716978592893,0,0.8
1,0.9,593.7964491186116,1,0.8
1,0.9,248.17190987989957,0,0.8
1,0.9,310.9571688696429,0,0.8
1,0.9,372.4645852510717,0,0.8
1,0.9,446.7145403834083,1,0.8
1,0.9,499.3157486059849,1,0.8
1,0.9,443.05499618487545,1,0.8
1,0.9,479.9025317808165,1,0.8
1,0.9,468.5727561319742,1,0.8
1,0.9,323.92780434895064,0,0.8
1,0.9,201.450864685463,0,0.8
1,0.9,509.04336927392995,1,0.8
1,0.9,374.75369333717003,1,0.8
1,0.9,408.98849868924447,0,0.8
1,0.9,461.1626938579125,1,0.8
1,0.9,387.5187517494448,1,0.8
1,0.9,305.6713802290103,1,0.8
1,0.9,378.9525414602566,0,0.8
1,0.9,488.7976050355235,1,0.8
1,0.9,413.09739126611964,0,0.8
1,0.9,452.73240979856763,1,0.8
1,0.9,304.5191798838774,0,0.8
1,0.9,570.7917307826004,0,0.8
1,0.9,474.4287583817001,1,0.8
1,0.9,347.26141108621,0,0.8
1,0.9,425.28121060057833,0,0.8
1,0.9,632.0985854605452,1,0.8
1,0.9,324.4419153215097,1,0.8
1,0.9,371.0825906034896,1,0.8
1,0.9,289.4096458749952,0,0.8
1,0.9,476.1667754787353,1,0.8
1,0.9,355.8510911289987,0,0.8
1,0.9,522.2143000470835,1,0.8
1,0.9,558.216616561145,1,0.8
1,0.9,644.2266440488534,1,0.8
1,0.9,477.5482818939491,1,0.8
1,0.9,391.85805165210184,0,0.8
1,0.9,387.1207550612583,1,0.8
1,0.9,551.1309312849409,1,0.8
1,0.9,613.0818773904177,1,0.8
1,0.9,395.0929240245261,1,0.8
1,0.9,653.7971939117087,1,0.8
1,0.9,398.439902745578,0,0.8
1,0.9,351.4742078051116,0,0.8
1,0.9,464.4044777487407,1,0.8
1,0.9,209.519664975232,0,0.8
1,0.9,241.0953928426849,0,0.8
1,0.9,490.4112358600238,1,0.8
1,0.9,427.80093241325125,1,0.8
1,0.9,326.9476007561009,0,0.8
1,0.9,404.0999566115822,0,0.8
1,0.9,590.6868374164407,1,0.8
1,0.9,380.62782675192045,1,0.8
1,0.9,441.37717788401875,0,0.8
1,0.9,244.7748845550999,0,0.8
1,0.9,351.16260911478537,0,0.8
1,0.9,533.6490443260041,0,0.8
1,0.9,486.07881359528267,1,0.8
1,0.9,484.8392121275811,1,0.8
1,0.9,366.77108646006974,0,0.8
1,0.9,437.2874494732886,1,0.8
1,0.9,352.6524916941581,0,0.8
1,0.9,283.1663320556515,0,0.8
1,0.9,204.1875235984385,0,0.8
1,0.9,330.02951857181927,0,0.8
1,0.9,336.06349751452404,0,0.8
1,0.9,248.21641183160983,0,0.8
1,0.9,562.8912870424766,1,0.8
1,0.9,392.96908056925383,1,0.8
1,0.9,264.1614882856343,0,0.8
1,0.9,313.796062909677,1,0.8
1,0.9,456.44751743387167,0,0.8
1,0.9,176.54778905216102,0,0.8
1,0.9,478.29562528072904,1,0.8
1,0.9,603.3387821953797,1,0.8
1,0.9,299.51012917594846,1,0.8
1,0.9,460.36958957082174,0,0.8
1,0.9,306.08741307285123,0,0.8
1,0.9,510.20701197229937,1,0.8
1,0.9,485.86270968403596,1,0.8
1,0.9,340.3659967483853,1,0.8
1,0.9,354.83708501100494,0,0.8
1,0.9,449.68802835076457,1,0.8
1,0.9,518.2944565047462,1,0.8
1,0.9,412.0624337822702,1,0.8
1,0.9,491.782200246278,1,0.8
1,0.9,467.1046105581024,1,0.8
1,0.9,618.500099193564,1,0.8
1,0.9,283.75958936606713,0,0.8
1,0.9,492.15210714057446,1,0.8
1,0.9,529.4303629363848,1,0.8
1,0.9,294.17579019401774,0,0.8
1,0.9,502.33697793736525,1,0.8
1,0.9,362.8279839545424,1,0.8
1,0.9,494.8610675263752,0,0.8
1,0.9,311.3710932102198,0,0.8
1,0.9,520.2397888602183,0,0.8
1,0.9,372.40267845822905,0,0.8
1,0.9,656.7066106847506,1,0.8
1,0.9,330.2953970808195,0,0.8
1,0.9,534.029845573834,1,0.8
1,0.9,562.1585325254555,1,0.8
1,0.9,340.50450359116525,0,0.8
1,0.9,569.7380584560109,1,0.8
1,0.9,559.7133294280278,1,0.8
1,0.9,406.83676260069376,0,0.8
1,0.9,501.21785738857454,1,0.8
1,0.9,430.1060564499488,1,0.8
1,0.9,415.71141854056845,0,0.8
1,0.9,202.5178403448474,0,0.8
1,0.9,380.80631252823014,0,0.8
1,0.9,401.0417299475886,1,0.8
1,0.9,448.43175947085945,1,0.8
1,0.9,309.1077130011759,0,0.8
1,0.9,407.92657777998386,1,0.8
1,0.9,464.63253927336115,0,0.8
1,0.9,248.52436626165158,0,0.8
1,0.9,428.61961099595214,1,0.8
