newage,total_w,mat
4,913.66194958767,1
4,874.4389543867492,1
4,993.273698914584,1
4,500.73111670478704,1
4,689.155377610717,1
4,848.7975288421451,1
4,838.9361784771357,1
4,696.8877838442439,1
4,342.37737403479764,0
4,826.9573025255635,1
4,740.0777877425764,1
4,463.77742855630055,1
4,629.6351960824139,1
4,421.0086652224679,1
4,593.9420823242112,1
4,276.20758755707175,0
4,553.881108619088,1
4,697.3199198486542,1
4,792.7546126935931,1
4,796.2576869459623,1
4,901.0943500354668,1
4,470.4206637092973,1
4,421.939432034497,1
4,909.1279221470521,1
4,374.9981003881552,0
4,985.1408163902704,1
4,839.2415630451856,1
4,664.6502191499686,1
4,963.3341718725651,1
4,513.185256932586,1
4,524.0899984114835,1
4,683.7806239145364,1
4,551.2956600279153,1
4,977.2612726288328,1
4,448.2939372685421,1
4,664.1274258045199,1
4,642.6676631274959,1
4,804.6969747400615,1
4,424.8230965706512,1
4,546.0973986381335,1
4,880.821735896635,1
4,449.0794102347033,1
4,916.7283589316029,1
4,668.4239734595456,1
4,824.6010450036378,1
4,804.5394914116912,1
4,468.5877147376571,1
4,711.6840195104297,1
4,931.8520326685917,1
4,656.0310165073988,1
4,996.9134295344037,1
4,650.1855442446292,1
4,337.9830745968377,0
4,587.3269674111018,1
4,991.1330137456457,1
4,573.8572372796234,1
4,875.689209997913,1
4,886.2984997992528,1
4,529.4218027815537,1
4,403.435902468997,1
4,864.3934309742068,1
4,511.4553579649304,1
4,897.7861733765017,1
4,627.1792872753242,1
4,643.7670959348609,1
4,838.4091850981066,1
4,617.3376333520148,1
4,637.6054856589353,1
4,689.6007901457249,1
4,527.1803182386842,1
4,703.5487573944912,1
4,843.5235717702068,1
4,522.5381027579126,1
4,675.9498531139124,1
4,782.9622052713204,1
4,649.12750123949,1
4,499.50821654946685,1
4,898.2119899017151,1
4,825.6540457398595,1
4,608.7549379545316,1
4,755.8517978758028,1
4,340.7248854250825,0
4,780.0400357292144,1
4,715.1471462638497,1
4,665.9313013046303,1
4,556.877501513459,1
4,337.0962089142669,1
4,395.0675511158108,1
4,982.0011439536485,1
4,534.2364249144051,1
4,616.6132009363945,1
4,306.0839591053766,0
4,373.02919540441974,1
4,897.7548889551197,1
4,620.8249724621892,1
4,573.2691451221829,1
4,479.0803364199113,1
4,827.215387306235,1
4,445.3338391316393,1
4,426.83959992777636,1
4,623.2523115755557,1
4,533.04582676315,1
4,540.2963718707814,1
4,661.0091597803514,1
4,744.2138147970371,1
4,891.3620471610051,1
4,558.1430203110867,1
4,456.25634348614716,1
4,474.3226477351544,1
4,984.3390806234713,1
4,753.256936000352,1
4,773.056978224599,1
4,232.67467175506107,0
4,650.9471715382875,1
4,396.9915149179782,0
4,690.2317878829276,1
4,903.8024626795824,1
4,1024.8086192154135,1
4,671.0370744633158,1
4,606.071226888996,1
4,970.0844285721414,1
4,816.5921962386919,1
4,483.21718667274575,1
4,678.0551981967694,1
4,541.3586108751439,1
4,614.1686286357107,1
4,578.4231836658522,1
4,718.9750333949808,1
4,567.9624292004706,1
4,377.77826856180127,0
4,653.7644890259696,1
4,904.5038414410748,1
4,789.5479848368735,1
4,575.3045414983604,1
4,970.7038919828951,1
4,914.950715485941,1
4,436.661880248745,1
4,286.856387982153,0
4,913.328673637773,1
4,883.4474959483889,1
4,966.905252057179,1
4,878.6491439074283,1
4,875.146537496751,1
4,626.7691890532742,1
4,317.489518578255,0
4,508.518225668752,1
4,662.5486794656039,1
4,795.2792548176103,1
4,789.3116720449825,1
4,850.3003557565852,1
4,457.4399730048544,1
4,691.3205169475928,1
4,395.3283441314329,0
4,704.703858111872,1
4,760.2190924879138,1
4,851.6414055930113,1
4,1002.6327797544025,1
4,550.8574924331481,1
4,653.6689876065093,1
4,501.95904986000147,1
4,657.1537565303054,1
4,935.447639666465,1
4,833.8650194151569,1
4,919.3947783474238,1
4,428.3964524996903,1
4,835.9462103809858,1
4,401.60700984827173,0
4,945.441984819463,1
4,495.48103839009707,1
4,506.990907056734,1
4,644.8822915575195,1
4,885.5201060526767,1
4,311.60720815309895,0
4,502.8255452077891,1
4,881.8450017102714,1
4,552.3821697396392,1
4,374.0764443226681,1
4,709.9895548338341,1
4,644.8027375657966,1
4,903.5320459213591,1
4,851.7364453379865,1
4,684.3518323969892,1
4,1051.6462781093421,1
4,595.4584699346238,1
4,414.2070641569085,1
4,470.951273623843,1
4,549.7348063407019,1
4,462.90061238508656,1
4,1028.8822071064708,1
4,970.85269919262,1
4,442.4490330363747,1
4,756.6930670462223,1
4,790.0953646448323,1
4,999.2376071828241,1
4,845.9875598777166,1
4,607.1922249890571,1
4,807.9700403009277,1
4,706.2066348861621,1
4,663.7845819040494,1
4,430.97724886564146,0
