site,age,q,mean,lower,upper
K,0,0.1,-20.751561815273156,-34.27862718166009,-10.960243965206866
K,0.03015075376884422,0.1,-19.805559919639883,-32.94999108264587,-10.366504855534634
K,0.06030150753768844,0.1,-18.85909835435978,-31.523697024446324,-9.674857841627535
K,0.09045226130653267,0.1,-17.91171744978572,-30.23221474701005,-8.955595222373155
K,0.12060301507537688,0.1,-16.962957536270736,-28.989258020253217,-8.241880779179342
K,0.1507537688442211,0.1,-16.01235894416814,-27.720420615579055,-7.524857429066129
K,0.18090452261306533,0.1,-15.059462003830822,-26.43594366044541,-6.788712860931082
K,0.21105527638190955,0.1,-14.103807045611706,-25.043727003218844,-5.988915635454007
K,0.24120603015075376,0.1,-13.144934399863995,-23.687945021894638,-5.237881837466481
K,0.271356783919598,0.1,-12.18238439694081,-22.311666090560173,-4.409827109929668
K,0.3015075376884422,0.1,-11.215697367195002,-20.950746623619203,-3.6522615332855963
K,0.3316582914572864,0.1,-10.24441364097973,-19.721075894814764,-2.8611273671517434
K,0.36180904522613067,0.1,-9.268073548648173,-18.472895259246492,-2.0840675594344416
K,0.39195979899497485,0.1,-8.286217420553225,-17.268576510227263,-1.175058766225793
K,0.4221105527638191,0.1,-7.298385587047927,-16.038636035275637,-0.33194971072258384
K,0.4522613065326633,0.1,-6.304118378485515,-14.854955687548063,0.5989055887471554
K,0.4824120603015075,0.1,-5.302956125218888,-13.629829280524808,1.3962729852080074
K,0.5125628140703518,0.1,-4.294438160913858,-12.076490336686117,2.25869511507118
K,0.542713567839196,0.1,-3.2780686321906622,-10.898980734004411,3.1800207331585835
K,0.5728643216080401,0.1,-2.2533079350871104,-9.7613343007271,4.139697474190272
K,0.6030150753768844,0.1,-1.219613730731181,-8.55919568852919,5.113266190429472
K,0.6331658291457286,0.1,-0.17644368025105697,-7.181067083376858,6.171892315368987
K,0.6633165829145728,0.1,0.8767445552251177,-5.996887539275434,7.195698720938117
K,0.6934673366834171,0.1,1.940493314569319,-4.762506313723816,8.162418751656967
K,0.7236180904522613,0.1,3.0153449366535234,-3.742911565415677,9.196445825236813
K,0.7537688442211055,0.1,4.101841760349489,-2.7496347132917545,10.254079282998601
K,0.7839195979899497,0.1,5.200526124529202,-1.6062703195559231,11.351086817052376
